URL,Score,Performance,Accessibility,Best Practices,SEO,FCP,LCP,CLS,FID,TBT,SI,Color Contrast,Headings,Labels,Image Alts,Link Names,Errors,Inspector Issues,Images Responsive,Image Aspect Ratio,Indexable
"/",80,55,100,81,85,3977.04,27029.43,0.03,139,89,8242.21,1,1,1,1,1,1,1,1,1,1
"/?attachment_id=3693",89,65,100,100,92,2142.39,4992.39,0.01,16,0,2142.39,1,1,1,1,1,1,1,1,1,1
"/?attachment_id=4203",89,63,100,100,92,2288.96,5593.96,0.01,16,0,2288.96,1,1,1,1,1,1,1,1,1,1
"/?attachment_id=4204",89,63,100,100,92,2132.88,7124.62,0.01,16,0,2209.47,1,1,1,1,1,1,1,1,1,1
"/2020-08-pomona-choice-energy-postcard-notice-1-11x622-final-no-crop-marks/",83,62,97,81,92,2186.19,5966.79,0.01,171,60.5,2568.35,1,1,1,1,0,1,1,1,1,1
"/2020-power-content-label-mailer/",84,66,97,81,92,2141.95,3649.95,0.01,107,28.5,2752.68,1,1,1,1,0,1,1,1,1,1
"/2020-power-content-label/",84,66,97,81,92,2149.51,3655.51,0.01,125,37.5,2839.55,1,1,1,1,0,1,1,1,1,1
"/2021_04_01-pomona-jrc-update-combined/",89,68,97,100,92,2147.29,3647.76,0.01,16,0,2325.18,1,1,1,1,0,1,1,1,1,1
"/2021-09-09_pomona-choice-energy_power-content-label-mailer_6x4-web/",83,61,97,81,92,2293.52,6214.72,0.04,70,10,2676.11,1,1,1,1,0,1,1,1,1,1
"/2022-09_pomona-choice-energy_2021-power-content-label-mailer_6x4_web-final/",88,63,97,100,92,2214.24,5220,0.01,28,0,2609.24,1,1,1,1,0,1,1,1,1,1
"/2023-09_pomona-choice-energy_2022-power-content-label-mailer_6x4-final-web/",88,64,97,100,92,2129.52,6186.17,0.01,16,0,2129.52,1,1,1,1,0,1,1,1,1,1
"/2024-04_calchoice_pce_commercialpostcard_2024_final-02d_web/",88,64,97,100,92,2129.5,6037.59,0.01,16,0,2129.5,1,1,1,1,0,1,1,1,1,1
"/2024-04_calchoice_pce_residentialcarepostcard_2024_final-02d_web/",88,64,97,100,92,2167.34,6224.97,0.01,16,0,2175.67,1,1,1,1,0,1,1,1,1,1
"/2024-04_calchoice_pce_residentialpostcard_2024_final-02d_web/",87,59,97,100,92,2980.34,6792.65,0.01,23,0,2980.34,1,1,1,1,0,1,1,1,1,1
"/2024-09_pomona-choice-energy_2023-power-content-label-mailer_6x4_final-web/",88,64,97,100,92,2141.55,6347.37,0.01,16,0,2141.55,1,1,1,1,0,1,1,1,1,1
"/2025-05_calchoice_pce_commercialpostcard_2025_final-web-2/",88,64,97,100,92,2127.47,5882.76,0.01,16,0,2127.47,1,1,1,1,0,1,1,1,1,1
"/2025-05_calchoice_pce_residentialcarepostcard_2025_final-web-2/",88,64,97,100,92,2132.93,6038.5,0.01,16,0,2132.93,1,1,1,1,0,1,1,1,1,1
"/2025-05_calchoice_pce_residentialpostcard_2025_final-web-2/",88,64,97,100,92,2167.56,5456.63,0.01,16,0,2167.56,1,1,1,1,0,1,1,1,1,1
"/about/",83,46,99,96,92,2375.61,5825.66,0.28,16,0,3204.89,1,0,1,1,1,1,0,1,1,1
"/about/benefits/",89,63,99,100,92,2144.64,6651.98,0.01,16,0,2363.69,1,0,1,1,1,1,1,1,1,1
"/about/california-statewide-supplier-diversity-program/",88,60,99,100,92,2603.51,7459.09,0.01,16,0,2603.51,1,0,1,1,1,1,1,1,1,1
"/about/faqs/",86,57,96,100,92,3528.87,6835.57,0.02,16,0,3528.87,0,0,1,1,1,1,1,1,1,1
"/about/leadership/attachment/638723568891930000/",89,63,100,100,92,2133.53,6643.37,0.01,16,0,2229.52,1,1,1,1,1,1,1,1,1,1
"/about/leadership/attachment/638723568911570000/",89,65,100,100,92,2131.43,5436.5,0.01,16,0,2131.43,1,1,1,1,1,1,1,1,1,1
"/about/leadership/ecole/",88,59,100,100,92,3370.06,4880.32,0.01,16,0,3370.06,1,1,1,1,1,1,1,1,1,1
"/about/leadership/gonzalezhs/",89,65,100,100,92,2134.66,5434.72,0.01,16,0,2134.66,1,1,1,1,1,1,1,1,1,1
"/about/leadership/mayorsandoval/",89,65,100,100,92,2278.03,4386.03,0.01,16,0,2278.03,1,1,1,1,1,1,1,1,1,1
"/about/leadership/nolte-john-old-pic/",88,59,100,100,92,3339.34,4989.34,0.01,16,0,3339.34,1,1,1,1,1,1,1,1,1,1
"/about/leadership/nora_garcia/",90,67,100,100,92,2161.27,4120.84,0.01,16,0,2161.27,1,1,1,1,1,1,1,1,1,1
"/about/leadership/roberttorres/",89,65,100,100,92,2130.19,5147.24,0.01,16,0,2195.25,1,1,1,1,1,1,1,1,1,1
"/about/leadership/steve_lustro/",89,62,100,100,92,2946.44,4446.46,0.01,16,0,2946.44,1,1,1,1,1,1,1,1,1,1
"/about/leadership/victor-preciado/",90,68,100,100,92,2178.14,3678.3,0.01,16,0,2178.14,1,1,1,1,1,1,1,1,1,1
"/about/newsletters/",88,59,99,100,92,3519.7,4878.05,0.01,16,0,3519.7,1,0,1,1,1,1,1,1,1,1
"/about/notifications/",90,67,100,100,92,2135.72,4244.17,0.01,16,0,2147.09,1,1,1,1,1,1,1,1,1,1
"/about/picture1/",88,60,100,100,92,3358.31,4417.08,0.01,16,0,3358.31,1,1,1,1,1,1,1,1,1,1
"/about/pomona-logo/",88,64,97,100,92,2162.85,6068.5,0.01,16,0,2162.85,1,1,1,1,0,1,1,1,1,1
"/about/screen-shot-2020-08-13-at-12-17-33-pm-2/",89,64,100,100,92,2141.59,5897.59,0.01,16,0,2141.59,1,1,1,1,1,1,1,1,1,1
"/amp-program/",87,58,97,100,92,3417.07,5817.09,0.01,16,0,3417.07,1,1,1,1,0,1,1,1,1,1
"/autumn-energy-efficiency-tips-to-help-save-on-your-power-bill/",89,63,100,100,92,2283.49,6351.04,0.03,17,0,2298.65,1,1,1,1,1,1,1,1,1,1
"/autumn-energy-efficiency-tips-to-help-save-on-your-power-bill/autumn-energy-efficiency-tips-newsletter/",90,66,100,100,92,2145.24,4553.77,0.01,16,0,2145.24,1,1,1,1,1,1,1,1,1,1
